10163,Bellingen,3673,937,,1981,3,25,,NSW,625,3,25,878,999,0%
10164,Belmont (NSW),6426,961,,2692,4,33,,NSW,839,4,33,813,1124,0%
10165,Belmont North,6485,973,,3110,4,38,,NSW,976,4,39,830,1079,0%
10166,Belmont South,1200,890,,907,2,11,,NSW,272,2,11,820,966,0%
10167,Belmore,12567,918,,1455,2,18,,NSW,454,2,18,836,1023,0%
10168,Belmore River,391,968,,2930,4,36,,NSW,921,4,36,968,968,0%
10169,Belrose,8292,1130,,8017,10,98,,NSW,2442,10,96,1000,1176,0%
10170,Bemboka,578,936,,1927,3,24,,NSW,609,3,24,913,962,0%
10171,Ben Lomond (NSW),436,1015,,4894,6,60,,NSW,1507,6,59,1015,1015,0%
10172,Bendalong,233,994,,3977,5,49,,NSW,1227,5,48,994,994,0%
10173,Bendemeer,476,941,,2060,3,25,,NSW,652,3,26,881,976,0%
10174,Bendick Murrell,303,973,,3122,4,38,,NSW,980,4,39,973,973,0%
10175,Bendolba,229,982,,3492,5,43,,NSW,1079,5,43,982,982,0%
10176,Benerembah,429,1021,,5135,7,63,,NSW,1570,7,62,1021,1021,0%
10177,Beni,439,1051,,6305,8,77,,NSW,1886,8,74,1045,1059,0%
10178,Bensville,2601,1084,,7293,9,89,,NSW,2194,9,86,1036,1114,0%
10179,Bentley (NSW),159,992,,3902,5,48,,NSW,1202,5,47,992,992,0%
10180,Berala,8799,917,,1434,2,18,,NSW,444,2,18,788,1051,0%
10181,Berambing,30,1026,,5358,7,65,,NSW,1625,7,64,1026,1026,0%
10182,Beresfield,3072,908,,1223,2,15,,NSW,380,2,15,877,956,0%
10183,Bergalia,188,1031,,5568,7,68,,NSW,1681,7,66,1031,1031,0%
10184,Berkeley,7424,880,,757,1,10,,NSW,215,1,9,754,1032,0%
10185,Berkeley Vale,8488,964,,2808,4,35,,NSW,883,4,35,722,1051,0%
10186,Berkshire Park,1709,1011,,4692,6,57,,NSW,1440,6,57,1002,1020,39%
10187,Bermagui,1667,916,,1411,2,18,,NSW,437,2,18,863,987,0%
10188,Berowra,4619,1126,,7978,10,97,,NSW,2427,10,95,1077,1188,0%
10189,Berowra Creek,215,1020,,5096,7,62,,NSW,1564,7,61,1020,1020,0%
10190,Berowra Heights,5101,1109,,7751,10,94,,NSW,2334,10,92,1077,1163,0%
10191,Berrambool,681,947,,2231,3,28,,NSW,709,3,28,890,1007,0%
10192,Berrara,297,942,,2075,3,26,,NSW,656,3,26,942,942,0%
10193,Berridale,1595,994,,3988,5,49,,NSW,1231,5,49,920,1089,0%
10194,Berrigan,1089,895,,974,2,12,,NSW,295,2,12,842,1031,0%
10195,Berrilee,333,1076,,7092,9,86,,NSW,2132,9,84,1076,1076,0%
10196,Berrima,601,1071,,6937,9,85,,NSW,2083,9,82,1049,1088,0%
10197,Berry,2418,1049,,6252,8,76,,NSW,1868,8,73,986,1094,0%
10198,Bethungra,415,1000,,4232,6,52,,NSW,1296,6,51,1000,1000,0%
10199,Beverley Park,2103,1056,,6468,8,79,,NSW,1924,8,76,1045,1082,0%
10200,Beverly Hills,9638,1008,,4562,6,56,,NSW,1402,6,55,908,1060,0%
10201,Bexhill,486,1003,,4372,6,54,,NSW,1341,6,53,1003,1003,0%
10202,Bexley,19058,1002,,4318,6,53,,NSW,1322,6,52,923,1059,0%
10203,Bexley North,3992,1010,,4666,6,57,,NSW,1433,6,56,899,1091,0%
10204,Bibbenluke,304,952,,2407,3,30,,NSW,762,3,30,952,952,0%
10205,Biddon,282,1028,,5432,7,66,,NSW,1646,7,65,1028,1028,0%
10206,Bidwill (NSW),4592,669,,108,1,2,,NSW,9,1,1,556,872,0%
10207,Big Springs,570,1082,,7235,9,88,,NSW,2172,9,85,1082,1082,0%
10208,Bigga,297,965,,2839,4,35,,NSW,893,4,35,965,965,0%
10209,Bilambil,559,976,,3207,4,39,,NSW,1000,4,40,945,1003,0%
10210,Bilambil Heights,3275,1003,,4341,6,53,,NSW,1331,6,52,974,1055,0%
10211,Bilbul,674,1013,,4785,6,59,,NSW,1474,6,58,1001,1023,0%
10212,Bilgola,3865,1153,,8173,10,100,,NSW,2517,10,99,1124,1172,0%
10213,Billinudgel,283,979,,3353,5,41,,NSW,1039,5,41,979,979,0%
10214,Billywillinga,314,1050,,6277,8,77,,NSW,1877,8,74,1050,1050,0%
10215,Bilpin,934,1041,,5953,8,73,,NSW,1788,7,70,1011,1058,0%
10216,Binalong,462,986,,3653,5,45,,NSW,1126,5,44,956,1045,0%
10217,Binda,212,992,,3896,5,48,,NSW,1200,5,47,992,992,0%
10218,Bingara,1336,861,,561,1,7,,NSW,146,1,6,820,913,0%
10219,Bingie,279,1003,,4366,6,53,,NSW,1337,6,53,1003,1003,0%
